"time","usage"
1486258431,49
1486258731,49.2
1486259031,49.3
1486259331,49.5
1486259631,49.6
1486259931,49.9
1486260231,50
1486260531,50.2
1486260831,48.6
1486261131,48.2
1486261431,48.3
1486261731,48.6
1486262031,48.9
1486262332,49.1
1486262632,49.1
1486262992,49.4
1486263292,49.7
1486263651,49.9
1486263951,50
1486264251,50.3
1486264551,48.5
1486264851,48.7
1486265152,48.9
1486266106,48.5
1486266407,48
1486266767,48.4
1486267127,48.4
1486267427,48.8
1486267786,49
1486268086,47.4
1486268386,47.6
1486268686,47.7
1486268986,47.9
1486269287,47.5
1486269646,47.8
1486269946,47.9
1486270247,48.2
1486270606,48.4
1486270906,48.7
1486271207,48.8
1486271567,49.1
1486271927,47.5
1486272286,47.7
1486272586,47.4
1486272886,47.6
1486273186,47.8
1486273486,47.9
1486273786,47.9
1486274086,48.2
1486274387,48.3
1486274746,48.4
1486275046,48.6
1486275346,46.8
1486275646,47
1486275946,47.2
1486276247,47.5
1486276606,47.8
1486276906,48
1486277206,48.1
1486277506,48.3
1486277806,48
1486278106,48.2
1486278406,48.5
1486278706,48.5
1486279006,46.9
1486279306,47.1
1486279606,47.3
1486279907,47.6
1486280207,47.7
1486280567,48
1486280867,48.3
1486281227,48.4
1486282486,49.1
1486282786,47.5
1486283086,47.2
1486283387,47.4
1486283746,47.6
1486284046,47.8
1486284346,48
1486284646,48.2
1486284946,48.5
1486285247,48.6
1486285606,48.9
1486285906,49.2
1486286206,48.6
1486286506,47.7
1486286807,48
1486287167,48.1
1486287526,48.5
1486287826,48.5
1486288126,48.8
1486288426,49
1486288726,48.4
1486289026,48.7
1486289327,49
1486289627,48.9
1486289927,47.2
1486290227,47.4
1486290527,47.5
1486290827,48
1486291186,48.2
1486291487,48.3
1486291847,48.7
1486292147,48.7
1486292447,49
1486292806,49.2
1486293106,49.5
1486293406,49.6
1486293706,47.7
1486294006,47.5
1486294306,47.7
1486294607,47.8
1486294907,48.2
1486295207,48.5
1486295507,48.5
1486295866,48.8
1486296166,49
1486296467,49.2
1486296767,49.3
1486297067,49.4
1486297367,47.8
1486297667,48
1486297967,48.1
1486298267,48.4
1486298627,48.7
1486298927,48.8
1486299227,48.9
1486299527,48.7
1486299886,48.9
1486300186,49.2
1486300487,49.5
1486300787,47.8
1486301087,48
1486301387,48.1
1486301687,48.4
1486301987,48.6
1486302287,48.7
1486302587,48.9
1486302887,49.1
1486303187,49.3
1486303487,49.4
1486303787,49.6
1486304087,49.2
1486304446,47.6
1486304746,47.8
1486305046,48.1
1486305346,48.2
1486305647,48.4
1486306006,48.5
1486306307,48.7
1486306607,48.8
1486306907,49.1
1486307207,49.2
1486307567,49.5
1486307927,49.8
1486308227,48.1
1486308586,48.1
1486308886,48.4
1486309186,48.7
1486309487,48.8
1486309787,49
1486310146,48.8
1486310446,49.1
1486310746,49
1486311046,49.3
1486311346,49.6
1486311646,48.2
1486311947,47.9
1486312306,48.2
1486312606,48.5
1486312907,48.4
1486313207,48.7
1486313567,49
1486313867,49.1
1486314227,49.4
1486314527,49.6
1486314887,49.8
1486315187,49.7
1486315487,48
1486315787,48
1486316087,48.3
1486316387,48.5
1486316687,48.7
1486316987,48.8
1486317346,49.1
1486317647,49.4
1486317947,49.4
1486318247,49.6
1486318547,49.9
1486318847,50
1486319147,48.4
1486319447,48.5
1486319747,48.7
1486320047,49
1486320347,49.2
1486320647,48.8
1486321006,49.1
1486321306,49.3
1486321606,49.3
1486321906,49.6
1486322207,49.9
1486322507,49.9
1486322866,48.2
1486323166,48.3
1486323466,48.6
1486323767,48.7
1486324067,49
1486324367,49.2
1486324667,49.4
1486324967,49.7
1486325267,50
1486325627,49.9
1486325987,50.3
1486326287,48.1
1486326587,48.3
1486326887,48.5
1486327187,48.8
1486327487,48.9
1486327846,49.1
1486328146,49.3
1486328447,49.6
1486328807,49.8
1486329107,49.9
1486329407,50.2
1486329707,50.3
1486330007,48.8
1486330307,49.1
1486330607,49.1
1486330907,49.3
1486331207,49.4
1486331507,49.5
1486331807,49.3
1486332167,49.6
1486332467,49.7
1486332767,50
1486333127,50.1
1486333486,50.3
1486333787,48.6
